LSOA,population_per_hectare
E01020887,3.3
E01020892,10.3
E01020894,1.0
E01020898,39.8
E01020877,34.3
E01020879,17.5
E01020893,1.7
E01020899,3.2
E01020903,1.1
E01020904,5.9
E01020873,21.8
E01020875,1.1
E01020900,11.9
E01020901,26.3
E01020902,18.9
E01020868,9.9
E01020869,5.5
E01020874,7.5
E01020880,5.7
E01020881,9.8
E01020870,28.2
E01020871,61.3
E01020872,24.3
E01020883,21.0
E01020886,66.6
E01020882,2.5
E01020888,1.6
E01020895,19.2
E01020896,38.3
E01020897,6.8
E01020884,53.8
E01020885,33.1
E01020907,27.5
E01020908,24.6
E01020909,51.1
E01011954,51.6
E01011969,15.4
E01011970,31.5
E01011971,66.4
E01033465,38.7
E01033467,28.7
E01011952,36.0
E01011953,21.4
E01011991,53.9
E01011992,11.8
E01011993,29.3
E01011994,13.9
E01011955,47.3
E01011957,51.1
E01032540,33.7
E01032541,34.8
E01033466,60.4
E01011973,82.8
E01011974,19.5
E01011975,119.8
E01011976,86.7
E01011965,44.8
E01011966,73.5
E01011983,19.2
E01012002,47.0
E01011951,66.7
E01011964,74.6
E01011967,100.7
E01011999,27.5
E01012000,26.2
E01011950,109.6
E01011986,50.0
E01011987,87.4
E01012001,16.2
E01011949,37.4
E01011980,21.1
E01011981,34.7
E01011984,24.6
E01011985,34.2
E01011988,40.8
E01011989,7.0
E01011990,17.6
E01011995,54.0
E01011996,44.1
E01011997,13.8
E01011998,1.4
E01011961,45.3
E01011962,54.5
E01011977,51.3
E01011978,39.1
E01011979,72.8
E01011959,0.5
E01011960,48.9
E01011963,48.6
E01011968,1.8
E01011982,6.6
E01012003,11.4
E01012005,46.5
E01012068,63.5
E01012092,89.2
E01012093,173.2
E01012094,62.8
E01033468,5.5
E01012058,102.5
E01012059,36.8
E01012060,33.8
E01012061,22.4
E01012036,153.2
E01012037,88.1
E01012038,173.1
E01012039,103.3
E01012040,163.3
E01012041,19.3
E01012074,46.1
E01012075,29.0
E01012076,68.2
E01012077,30.2
E01012088,48.6
E01012078,109.6
E01012079,65.0
E01012080,26.3
E01012081,75.9
E01012026,43.7
E01012027,49.6
E01033469,43.1
E01012015,63.7
E01012016,35.3
E01012017,44.1
E01012089,40.7
E01012090,48.7
E01012091,35.2
E01012011,23.5
E01012012,43.1
E01012013,14.2
E01012014,52.1
E01012053,58.8
E01012054,75.3
E01012055,54.7
E01012056,79.8
E01012057,39.5
E01012082,56.8
E01012083,49.2
E01012084,54.5
E01012085,49.4
E01012018,22.5
E01012019,69.3
E01012020,37.7
E01012021,18.9
E01012007,17.2
E01012008,47.6
E01012009,38.0
E01012010,33.8
E01012046,10.2
E01012047,44.8
E01012048,29.7
E01012049,47.7
E01012050,75.4
E01012051,72.9
E01012052,22.6
E01012022,6.9
E01012023,27.9
E01012024,41.5
E01012025,58.0
E01012065,24.1
E01012066,16.9
E01012067,33.0
E01012042,41.8
E01012043,39.4
E01012044,33.6
E01012045,50.9
E01032552,42.7
E01032553,2.7
E01012030,25.2
E01012031,23.2
E01012032,33.9
E01012033,36.2
E01012034,10.1
E01012035,29.6
E01012062,29.6
E01012063,49.6
E01012064,9.5
E01012071,26.9
E01012073,35.8
E01032593,3.5
E01027356,0.2
E01027357,7.2
E01027366,0.3
E01027367,0.9
E01027358,1.3
E01027359,50.4
E01033715,41.4
E01033717,17.0
E01027361,29.2
E01027362,1.4
E01027363,19.3
E01027364,9.4
E01027370,0.5
E01027371,1.3
E01027372,0.5
E01027365,0.1
E01027368,0.1
E01027369,2.6
E01027373,0.0
E01027376,10.4
E01027377,17.7
E01027385,47.5
E01027387,15.6
E01027388,26.3
E01027389,15.1
E01027378,0.6
E01027379,0.9
E01027380,0.2
E01027382,0.2
E01027386,7.8
E01027374,0.3
E01027375,0.0
E01027381,0.1
E01027383,2.9
E01027384,0.3
E01027390,1.5
E01027392,16.7
E01027393,61.4
E01027416,69.1
E01027424,25.0
E01027414,84.3
E01027415,34.7
E01027431,58.6
E01027441,27.6
E01027442,34.0
E01027391,44.0
E01027422,55.3
E01027423,46.0
E01027429,47.4
E01027430,49.8
E01027425,5.0
E01027426,12.1
E01027427,4.4
E01027428,41.9
E01027437,43.0
E01027438,67.2
E01027439,41.8
E01027440,7.7
E01027400,54.1
E01027401,41.0
E01027402,41.5
E01027403,31.1
E01027398,6.7
E01027409,20.5
E01027411,51.9
E01027412,1.6
E01027413,12.3
E01027395,13.8
E01027396,57.6
E01027397,45.7
E01027399,54.7
E01027404,19.6
E01027405,51.5
E01027417,2.1
E01027418,16.1
E01027419,21.8
E01027420,3.5
E01027421,8.5
E01027394,27.7
E01027406,14.4
E01027407,47.5
E01027408,38.0
E01027410,18.0
E01027432,41.2
E01027433,2.3
E01027434,31.2
E01027435,7.2
E01027436,4.3
E01027443,37.0
E01027444,1.1
E01027445,1.0
E01027446,15.4
E01027451,13.3
E01027474,19.4
E01027475,0.5
E01027457,7.5
E01027462,14.9
E01027463,1.2
E01027447,0.1
E01027448,0.4
E01027450,0.2
E01027473,0.3
E01027452,8.6
E01027453,26.3
E01027461,50.5
E01033718,39.1
E01027455,12.7
E01027456,15.2
E01027458,12.1
E01027460,38.1
E01027464,10.9
E01027465,0.8
E01027466,34.7
E01033714,1.0
E01027449,0.8
E01027468,15.4
E01027469,5.8
E01027471,1.7
E01027472,0.2
E01027479,0.1
E01027480,0.1
E01027503,0.0
E01027511,0.1
E01027484,0.1
E01027485,2.3
E01027486,14.8
E01027487,2.1
E01027512,0.0
E01027483,0.3
E01027496,5.4
E01027508,1.8
E01027513,4.9
E01027476,1.9
E01027489,6.6
E01027490,39.6
E01027491,1.1
E01027492,38.0
E01027493,33.8
E01027494,4.4
E01027497,9.9
E01027498,24.8
E01027499,3.6
E01027500,40.5
E01027501,37.0
E01027502,34.4
E01027481,0.8
E01027482,18.0
E01027504,0.5
E01027506,0.1
E01027507,0.9
E01027509,5.7
E01027477,0.1
E01027478,2.5
E01027488,0.3
E01027495,0.3
E01027505,0.1
E01027510,0.3
E01027541,24.4
E01027542,3.4
E01027543,5.9
E01027544,48.2
E01027528,41.5
E01027529,26.1
E01027539,73.2
E01027545,68.2
E01027546,89.4
