LSOA,population_per_hectare
E01007366,15.0
E01007367,7.3
E01007368,42.4
E01007451,16.7
E01007452,16.7
E01007453,53.6
E01007455,22.2
E01032924,5.0
E01032925,27.6
E01007421,0.5
E01007422,1.3
E01007423,1.9
E01007426,0.2
E01007396,53.2
E01007397,11.0
E01007398,4.7
E01007399,8.8
E01007424,2.0
E01007388,9.4
E01007393,57.0
E01007394,57.8
E01007456,13.5
E01007457,4.3
E01007389,24.4
E01007390,14.3
E01007391,43.5
E01007392,45.8
E01007395,14.1
E01007632,0.5
E01007633,7.3
E01007634,20.4
E01007635,6.2
E01007487,9.3
E01007488,0.4
E01007489,3.6
E01007490,1.0
E01007491,72.3
E01007492,10.8
E01007493,7.0
E01007636,35.9
E01007637,31.8
E01007638,40.2
E01007639,36.1
E01007640,4.9
E01007641,19.2
E01007642,28.0
E01007625,0.5
E01007626,3.0
E01007627,12.9
E01007628,61.4
E01007629,23.2
E01007468,12.6
E01007469,19.9
E01007470,51.4
E01007472,64.7
E01007473,5.6
E01007474,8.5
E01007554,10.6
E01007555,31.2
E01007556,20.9
E01007561,5.6
E01007562,15.8
E01007563,25.5
E01007621,6.5
E01007622,26.3
E01007623,41.7
E01007624,4.4
E01007630,2.3
E01007631,49.7
E01007553,7.4
E01007557,1.3
E01007558,56.2
E01007559,0.4
E01007560,9.0
E01007464,25.5
E01007465,22.7
E01007466,19.4
E01007467,24.7
E01007471,21.1
E01007504,4.6
E01007507,10.0
E01007506,10.6
E01007508,24.5
E01007509,37.0
E01007510,41.1
E01007511,1.7
E01007475,8.1
E01007476,36.1
E01007477,31.0
E01007478,11.0
E01007512,35.8
E01007513,27.8
E01007515,47.1
E01007518,13.4
E01007519,49.5
E01007505,4.1
E01007514,67.5
E01007516,34.2
E01007517,29.9
E01007479,3.2
E01007480,46.7
E01007482,46.5
E01033259,33.6
E01033260,36.2
E01007570,46.4
E01007650,16.9
E01007651,53.8
E01007652,10.2
E01007653,40.1
E01007656,10.8
E01007581,8.8
E01007582,51.3
E01007588,13.3
E01007589,48.1
E01007483,6.3
E01007484,44.1
E01007485,9.1
E01007486,46.1
E01007564,52.5
E01007565,43.5
E01007566,13.8
E01007567,40.1
E01007568,67.5
E01007569,44.6
E01007644,7.3
E01007646,56.3
E01007647,23.1
E01007648,77.5
E01007649,74.6
E01007654,45.4
E01007583,0.7
E01007586,2.5
E01007587,0.4
E01007620,3.2
E01007584,18.6
E01007585,15.4
E01007617,3.2
E01007618,18.5
E01007619,11.9
E01007529,26.0
E01007530,18.0
E01007531,23.5
E01007643,46.2
E01007645,30.1
E01007655,24.0
E01007494,32.8
E01007532,66.7
E01007533,34.6
E01007535,94.8
E01007522,42.3
E01007525,8.3
E01007528,27.4
E01007604,46.6
E01007521,37.0
E01007523,44.0
E01007524,31.3
E01007526,17.0
E01007607,38.3
E01007599,1.1
E01007600,5.4
E01007601,9.5
E01007602,3.6
E01007603,1.3
E01007520,22.1
E01007527,20.3
E01007605,29.6
E01007606,4.7
E01007495,11.9
E01007500,28.0
E01007502,15.7
E01007534,9.1
E01007496,53.0
E01007497,62.7
E01007498,34.0
E01007499,50.2
E01007501,39.2
E01007503,32.1
E01007575,52.2
E01007578,31.3
E01007579,6.3
E01007580,19.1
E01007571,49.6
E01007572,36.9
E01007573,50.3
E01007574,39.5
E01007576,60.0
E01007577,50.2
E01007536,22.6
E01007542,16.5
E01007543,4.4
E01007544,48.2
E01007546,20.8
E01007551,10.9
E01007552,14.2
E01007613,0.6
E01007545,3.5
E01007547,36.6
E01007548,34.7
E01007549,28.0
E01007550,8.1
E01007537,32.4
E01007538,32.9
E01007539,43.9
E01007540,40.5
E01007541,18.0
E01007591,65.6
E01007594,4.1
E01007596,7.7
E01007598,21.9
E01007590,33.7
E01007592,52.8
E01007593,4.9
E01007595,45.0
E01007597,13.4
E01007608,4.2
E01007609,1.3
E01007610,11.8
E01007611,0.7
E01007612,1.1
E01007614,1.0
E01007615,26.0
E01007616,27.1
E01007693,17.0
E01007694,29.6
E01007695,18.8
E01007697,49.0
E01007698,15.8
E01007816,7.8
E01007817,32.6
E01007819,7.2
E01007820,4.8
E01007821,31.3
E01007822,21.3
E01007796,57.5
E01007797,34.7
E01007798,31.6
E01007799,31.3
E01007800,14.4
E01007818,12.1
E01007777,21.7
E01007793,15.0
E01007794,60.1
E01007795,44.5
E01007778,12.2
E01007779,12.6
E01007780,18.9
E01007781,43.0
E01007782,24.7
E01007771,19.4
E01007772,7.1
E01007773,63.6
E01007774,18.6
E01007696,0.7
E01007801,4.1
E01007802,23.9
E01007803,16.3
E01007808,23.4
E01007775,60.3
E01007776,13.5
E01007783,20.8
E01007784,12.7
E01007728,4.4
E01007729,57.0
E01007730,35.5
E01007731,8.2
E01007732,20.4
E01007733,49.9
E01007719,34.6
E01007720,1.7
E01007721,10.6
E01007727,15.7
E01007740,39.8
E01007804,36.2
E01007805,48.7
E01007806,64.1
E01007807,42.4
E01007681,13.2
E01007691,8.0
E01007692,4.1
E01032926,30.0
E01032927,16.6
E01007723,47.9
E01007735,26.4
E01007737,11.0
E01007738,56.8
E01007739,58.7
E01007736,12.7
E01007765,78.4
E01007766,64.5
E01007768,52.7
E01007770,65.2
E01007741,47.9
E01007742,46.7
E01007743,5.8
E01007744,31.7
E01007745,16.3
E01007746,19.4
E01007715,37.7
E01007716,17.6
E01007717,30.5
E01007718,14.9
E01007677,27.0
E01007714,13.3
E01007767,18.6
E01007769,106.3
E01007685,5.2
E01007754,18.9
E01007755,60.5
E01007756,45.1
E01007761,22.9
E01007762,23.9
E01007682,62.0
E01007683,53.7
E01007686,35.6
E01007688,42.1
E01007725,64.7
E01007726,55.6
E01007757,10.0
E01007758,38.2
E01007759,45.7
E01007760,50.7
E01007763,33.7
E01007764,1.2
E01007708,47.0
E01007709,46.2
E01007710,21.7
E01007711,45.8
E01007724,6.2
E01007734,65.7
E01007684,35.7
E01007687,14.0
E01007689,48.8
E01007690,5.3
E01007675,42.5
E01007678,9.9
E01007679,51.7
E01007680,40.1
E01007712,39.0
E01007713,37.1
E01007811,11.3
E01007812,56.6
E01007813,23.1
E01007814,1.3
E01007676,4.9
E01007702,50.0
E01007703,58.2
E01007704,41.4
E01007705,36.0
E01007707,32.0
E01007666,2.5
E01007809,31.7
E01007810,5.2
E01007815,4.7
E01007665,4.0
E01007699,8.5
E01007700,11.6
E01007701,5.0
E01007706,14.2
E01007787,2.0
E01007788,0.9
E01007789,6.1
E01007792,29.2
E01007657,45.1
E01007659,36.4
E01007785,3.8
E01007786,41.0
E01007790,30.9
E01007791,47.5
E01007667,38.6
E01007668,59.0
E01007669,17.8
E01007670,3.8
E01007672,48.3
E01007673,58.5
E01007671,22.6
E01007674,10.2
E01007747,16.3
E01007750,2.3
E01007658,5.0
E01007660,8.4
E01007661,4.6
E01007662,51.0
E01007663,21.3
E01007664,1.8
E01007748,1.9
E01007749,20.3
E01007751,4.0
E01007752,5.4
E01007753,1.0
E01008144,6.5
E01008145,25.8
E01008148,19.5
E01008149,10.1
E01008150,43.4
E01008142,35.2
E01008143,16.3
E01008146,55.5
E01008147,1.2
E01007888,36.1
E01007892,55.7
E01007893,13.7
E01007898,11.9
E01007899,22.3
E01007900,47.0
E01007901,52.1
E01007887,48.1
E01007889,16.0
E01007890,54.8
E01007891,10.3
E01007894,14.9
E01007895,48.2
E01007896,40.8
E01007897,14.0
E01008134,10.5
E01008135,3.2
E01008137,12.0
E01008141,7.7
E01008053,47.1
E01008056,57.0
E01008058,33.3
E01008138,43.9
E01008139,41.4
E01007856,18.3
E01008054,67.9
E01008055,37.5
E01008057,46.7
E01008126,17.5
E01008128,0.1
E01008136,10.5
E01008140,32.2
E01033275,35.6
E01033280,5.8
E01008085,47.1
E01008086,39.6
E01008116,36.9
E01008117,38.1
E01008118,38.8
E01008119,36.0
E01008125,50.8
E01007849,38.0
E01007857,47.9
E01008059,65.3
E01008060,47.3
E01008061,57.8
E01008063,32.1
E01033277,32.0
E01008087,38.4
E01008088,53.6
E01008090,54.6
E01008092,21.5
E01008122,59.9
E01008124,58.3
E01007848,50.7
E01007851,33.7
E01007947,52.7
E01007948,73.0
E01008062,81.7
E01007847,82.0
E01007850,15.9
E01007852,14.1
E01007853,39.7
E01007854,32.1
E01007855,44.5
E01007941,44.6
E01007945,62.0
E01007946,64.7
E01007950,62.0
E01008123,36.4
E01007987,84.2
E01007988,47.9
E01007989,109.1
E01007991,52.4
E01007995,107.8
E01008089,11.3
E01008091,28.8
E01008093,13.0
E01007903,6.8
E01007904,9.2
E01007913,5.4
E01007914,58.4
E01007870,33.7
E01007871,38.2
E01007943,58.4
E01008094,27.3
E01007869,49.9
E01007872,38.0
E01007873,32.2
E01007942,44.5
E01007949,76.0
E01007990,46.4
E01007992,106.2
E01007993,62.0
E01007994,113.4
E01007996,31.6
E01007874,79.5
E01007875,65.5
E01007877,18.7
E01007940,93.7
E01007944,186.1
E01033269,6.7
E01033270,13.6
E01008129,0.9
E01008130,9.3
E01008131,41.9
E01008132,31.2
E01008133,23.0
E01008151,87.4
E01008153,86.2
E01008154,55.4
E01008155,91.6
E01008156,58.9
E01008160,40.2
E01007997,38.8
E01007998,76.8
E01008152,28.6
E01008158,6.6
E01008065,76.9
E01008068,125.3
E01008072,28.3
E01008157,45.6
E01008161,43.8
E01007883,11.3
E01007902,7.0
E01007905,57.6
E01007906,74.9
E01008064,133.9
E01008066,162.9
E01008069,149.3
E01008074,113.9
E01007951,55.5
E01007960,68.7
E01007962,125.3
E01008159,83.7
E01007866,40.4
E01007867,109.4
E01007868,41.9
E01008067,55.5
E01008073,75.1
E01007907,39.5
E01007908,60.1
E01007909,20.6
E01007911,15.9
E01008014,33.9
E01008016,35.0
E01007952,44.7
E01007953,13.7
E01007954,44.6
E01007961,10.4
E01007859,58.9
E01007860,56.2
E01007863,66.8
E01007864,160.2
E01008104,43.6
E01007910,17.5
E01007912,57.1
E01007971,28.5
E01007973,41.4
E01007858,36.9
E01007861,25.9
E01007862,60.5
E01007865,37.5
E01008011,47.1
E01008012,42.1
E01008013,30.5
E01008015,20.4
E01008017,22.3
E01008018,32.5
E01008105,184.7
E01008107,140.2
E01008111,62.3
E01033271,80.8
E01033272,109.2
E01007955,34.5
E01007956,0.7
E01007957,43.3
E01007958,22.7
E01007959,30.1
E01008108,62.1
E01008109,86.6
E01008112,79.9
E01008113,126.4
E01033273,87.9
E01033274,67.8
E01008095,19.2
E01008096,35.9
E01008097,42.3
E01008101,84.8
E01007965,67.9
E01007969,22.9
E01007972,24.4
E01007974,15.2
E01007963,23.5
E01007967,33.1
E01007999,43.9
E01008008,50.1
E01008009,62.6
E01008043,36.0
E01008044,42.4
E01008047,133.1
E01008048,57.0
E01008050,87.3
E01007931,47.7
E01007934,34.5
E01007935,70.8
E01007936,102.8
E01007937,49.5
E01007938,41.9
E01008098,64.7
E01008100,51.1
E01008102,42.1
E01008103,54.4
E01007964,36.8
E01007966,19.6
E01007968,34.4
E01007970,23.4
E01008042,82.0
E01008045,64.3
E01008046,81.3
E01008049,37.8
E01008051,105.0
E01008052,72.0
E01007975,60.2
E01007976,44.7
E01007977,48.0
E01007979,41.2
E01008099,67.7
E01008000,48.9
E01008001,38.4
E01008004,51.2
E01008005,43.0
E01008010,60.5
E01007978,63.0
E01007980,102.7
E01007981,29.8
E01007983,63.8
E01007985,58.9
E01007982,41.0
E01008002,58.9
E01008003,50.2
E01008006,52.5
E01007927,26.4
E01007928,33.2
E01007929,23.7
E01007930,24.0
E01007932,14.3
E01007939,5.0
E01008028,28.5
E01008029,30.1
E01008032,46.8
E01008034,21.4
E01007828,60.7
E01007829,35.5
E01007831,49.7
E01007832,75.7
E01007986,81.5
E01008007,28.2
E01008075,36.7
E01008076,66.7
E01008077,65.6
E01008031,52.3
E01008033,20.2
E01008038,45.6
E01008040,23.4
E01007835,23.9
E01007836,29.1
E01007843,43.1
E01007846,61.6
E01008030,32.5
E01008035,24.0
E01008036,79.7
E01008041,13.0
E01007827,9.7
E01007830,53.9
E01007833,14.1
E01007984,45.5
E01008078,15.4
E01008079,18.1
E01008019,17.7
E01008020,69.3
E01008022,78.0
E01008027,48.6
E01008037,23.8
E01008039,26.1
E01007824,40.3
E01007825,11.5
E01007826,14.5
E01007834,25.4
E01007920,19.5
E01007921,20.9
E01007923,29.2
E01007925,12.5
E01007926,1.9
E01007933,9.0
E01007823,39.5
E01007916,49.9
E01007919,71.3
E01008080,50.0
E01008081,37.6
E01008082,33.5
E01008083,65.0
E01008084,60.2
E01007915,25.0
E01007917,17.7
E01007918,32.0
E01007922,35.7
E01007924,32.1
E01008021,10.9
E01008023,33.2
E01008024,15.7
E01008025,8.7
E01032585,39.3
E01033261,136.6
E01033262,74.7
E01033263,48.4
E01033264,38.2
E01033276,245.6
E01008114,84.5
E01008115,121.5
E01033265,74.9
E01033266,101.4
E01033267,281.9
E01007878,68.0
E01007879,51.6
E01007881,29.7
E01007882,77.9
E01007885,23.1
E01007886,43.9
E01033268,26.0
E01007838,43.0
E01007839,45.7
E01007841,36.9
E01007842,24.4
E01033278,30.1
E01033279,23.2
E01010646,1.2
E01010647,12.2
E01010648,16.4
E01010692,1.6
E01010691,21.2
E01010693,15.3
E01010694,5.4
E01010695,44.8
E01010696,17.7
E01010697,34.0
E01010698,27.6
E01010699,42.3
E01010767,42.9
E01010768,6.3
E01010769,45.4
E01010771,8.4
E01010638,1.4
E01010639,18.0
E01010640,76.5
E01010641,23.0
E01010642,1.1
E01010643,2.7
E01010644,11.0
E01010645,9.0
E01010770,2.0
E01010772,18.6
E01010773,17.3
E01010774,14.7
E01010706,2.6
E01010707,2.6
E01010708,17.9
E01010709,19.6
E01010719,81.2
E01010727,11.9
E01010728,36.9
E01010729,13.6
E01010700,25.2
E01010701,148.7
E01010702,85.0
E01010703,16.4
E01010704,9.3
E01010705,7.2
E01010710,33.4
E01010712,101.3
E01010720,62.5
E01010721,40.0
E01010723,118.8
E01010724,43.0
E01010725,77.1
E01010579,30.3
E01010580,29.9
E01010764,1.4
E01010765,16.9
E01010766,46.5
E01010711,42.7
E01010713,27.1
E01010714,75.7
E01010716,9.2
E01010715,30.4
E01010717,59.1
E01010718,41.7
E01010726,40.8
E01010859,33.4
E01010573,2.9
E01010574,26.5
E01010575,42.1
E01010577,39.7
E01010722,3.6
E01010860,2.0
E01010862,36.7
E01010863,12.3
E01010578,2.3
E01010581,54.6
E01010582,63.0
E01010584,55.4
E01010585,38.1
E01010568,29.2
E01010569,26.8
E01010571,31.1
E01010572,54.7
E01010576,28.7
E01010683,7.3
E01010684,22.0
E01010685,3.1
E01010686,25.8
E01010570,17.1
E01010583,8.8
E01010784,20.9
E01010785,73.3
E01010786,32.0
E01010790,18.3
E01010680,63.4
E01010681,31.6
E01010682,44.7
E01010687,34.1
E01010688,56.3
E01010689,41.0
E01010690,51.1
E01010782,26.0
E01010787,15.6
E01010788,79.1
E01033689,24.6
E01033694,41.8
E01010776,35.8
E01010777,36.5
E01010779,24.4
E01010781,35.6
E01010783,40.0
E01010586,14.7
E01010587,3.3
E01010588,44.6
E01010589,24.7
E01010591,39.5
E01010593,34.6
E01010596,7.2
E01010854,12.2
E01010855,0.6
E01010856,32.7
E01010857,1.0
E01010858,11.9
E01010861,16.2
E01010603,42.1
E01010604,43.7
E01010605,59.6
E01010775,79.5
E01010778,33.3
E01010789,52.2
E01010791,51.7
E01010792,93.1
E01010793,45.3
E01010652,53.5
E01010653,38.4
E01010655,44.2
E01010656,58.1
E01010657,72.2
E01010649,40.9
E01010650,53.9
E01010654,30.6
E01010826,30.7
E01010597,40.9
E01010598,58.6
E01010599,52.1
E01010600,74.0
E01010602,58.5
E01010670,30.4
E01010671,59.5
E01010673,77.7
E01010675,17.4
E01010669,18.5
E01010674,46.0
E01010677,36.5
E01010805,27.8
E01010590,1.7
E01010592,11.2
E01010594,3.1
E01010595,3.7
E01010601,70.2
E01010651,61.5
E01010825,38.3
E01010827,65.9
E01010804,117.1
E01010806,44.6
E01010807,74.1
E01010808,163.0
E01010809,184.1
E01010676,161.3
E01010679,40.2
E01010824,20.0
E01010840,93.5
E01010841,130.6
E01010828,58.8
E01010829,36.7
E01010830,31.5
E01010831,72.0
E01010832,43.8
E01010672,11.8
E01010678,57.4
E01010799,27.4
E01010800,53.7
E01010801,44.3
E01010802,27.4
E01010803,141.9
E01010810,54.1
E01010811,189.2
E01010813,114.3
E01010618,92.9
E01010619,111.6
E01010625,36.6
E01010626,111.4
E01010627,52.8
E01010606,64.1
E01010607,152.1
E01010617,80.2
E01010842,60.8
E01033690,26.3
E01033691,32.6
E01033692,65.4
E01033693,23.3
E01010628,31.6
E01010629,36.9
E01010630,45.5
E01010631,86.8
E01010632,72.1
E01010658,32.9
E01010812,84.3
E01010833,15.9
E01010843,124.6
E01010620,90.8
E01010621,279.3
E01010622,61.6
E01010623,72.1
E01010624,186.7
E01010794,16.3
E01010795,4.8
E01010796,8.1
E01010797,2.9
E01010798,50.2
E01010834,54.7
E01010835,225.2
E01010836,83.5
E01010837,127.5
E01010838,86.1
E01010839,49.8
E01010608,54.8
E01010613,16.7
E01010730,24.2
E01010734,55.2
E01010609,14.3
E01010610,44.3
E01010611,47.2
E01010614,23.7
E01010633,15.7
E01010634,8.5
E01010635,55.5
E01010636,35.4
E01010637,45.3
E01010731,60.2
E01010732,70.0
E01010733,65.2
E01010736,52.6
E01010737,113.9
E01010659,43.6
E01010662,41.6
E01010664,60.1
E01010761,25.9
E01033695,45.4
E01033696,40.5
E01033697,95.4
E01010663,57.5
E01010665,58.8
E01010666,55.9
E01010667,75.0
E01010735,66.8
E01010738,150.4
E01010739,94.7
E01010740,123.8
E01010744,143.6
E01010612,33.0
E01010819,55.7
E01010820,59.7
E01010821,61.9
E01010822,40.3
E01010615,21.8
E01010616,32.7
E01010742,98.8
E01010743,80.3
E01010847,55.6
E01010848,43.9
E01010852,53.4
E01010853,54.9
E01010668,68.1
E01010755,62.9
E01010762,73.1
E01010763,51.3
E01010846,48.0
E01010745,60.1
E01010747,44.2
E01010748,60.8
E01010749,64.7
E01010814,37.2
E01010815,21.2
E01010816,2.3
E01010817,61.1
E01010818,8.4
E01010752,11.4
E01010753,51.1
E01010754,10.5
E01010756,16.4
E01010758,30.4
E01010759,11.5
E01010760,12.8
E01010741,24.7
E01010845,51.0
E01010849,60.8
E01010850,50.1
E01010851,61.4
E01010864,62.0
E01010867,27.6
E01010874,47.9
E01010746,14.9
E01010750,37.6
E01010751,60.9
E01010865,14.4
E01010866,14.7
E01010868,7.8
E01010869,42.3
E01010870,9.8
E01010871,26.8
E01010872,23.0
E01010873,41.0
E01010911,2.4
E01010912,55.3
E01010913,60.1
E01010915,9.0
E01010914,31.5
E01010924,38.6
E01010925,3.5
E01010926,21.6
E01010931,22.3
E01010932,19.2
E01010933,6.3
E01010935,23.2
E01010936,6.2
E01010937,15.7
E01010881,2.9
E01010882,6.4
E01010883,0.7
E01010887,0.3
E01010888,45.4
E01010923,27.0
E01010916,21.2
E01010939,26.9
E01010941,38.9
E01010942,42.2
E01010944,56.4
E01010938,60.7
E01010940,33.0
E01010943,81.0
E01010961,31.3
E01010917,3.9
E01010918,0.8
E01010919,25.1
E01010920,1.2
E01010921,16.3
E01010934,4.1
E01010967,22.1
E01010994,18.1
E01032923,45.9
E01010927,6.0
E01010928,17.8
E01010997,7.9
E01010999,37.8
E01010929,54.9
E01010930,42.1
E01010998,32.1
E01011000,66.9
E01010904,26.3
E01010906,13.2
E01010907,5.7
E01010909,16.0
E01010960,36.8
E01010964,69.3
E01010965,86.9
E01010966,61.8
E01010995,55.5
E01010982,26.3
E01010983,28.3
E01010985,1.0
E01010986,14.8
E01010987,13.4
E01010988,2.4
E01010996,138.8
E01011001,94.5
E01011002,81.4
E01011003,81.9
E01010878,8.6
E01010879,3.9
E01010905,8.2
E01010908,8.8
E01010910,32.5
E01010969,68.3
E01010970,26.5
E01010974,62.5
E01010977,18.1
E01010975,44.7
E01010976,32.3
E01010978,31.2
E01010979,26.5
E01010980,84.6
E01010981,34.2
E01010989,15.3
E01010990,9.4
E01010991,4.8
E01010992,43.3
E01010993,17.4
E01010875,21.5
E01010876,47.8
E01010877,5.2
E01010880,27.2
E01010949,24.0
E01010922,9.4
E01010956,1.8
E01010958,32.9
E01010959,25.7
E01010968,44.8
E01010971,30.8
E01010972,34.9
E01010973,19.0
E01010884,3.8
E01010885,10.9
E01010886,0.7
E01010984,17.1
E01010946,17.2
E01010947,15.1
E01010950,50.0
E01010951,60.5
E01010891,21.7
E01010892,8.4
E01010895,19.8
E01010945,19.1
E01010948,24.7
E01010889,15.3
E01010890,9.0
E01010893,72.7
E01010894,19.8
E01010901,11.1
E01010903,12.2
E01010896,2.8
E01010897,2.8
E01010898,21.4
E01010899,37.4
E01010900,25.7
E01010902,16.6
E01010952,4.4
E01010953,2.4
E01010954,6.4
E01010955,0.4
E01010957,2.8
E01011051,11.6
E01011055,12.5
E01011056,19.1
E01011057,4.3
E01011058,42.2
E01011048,17.7
E01011049,10.3
E01011050,13.7
E01011052,13.8
E01011053,53.7
E01011059,52.3
E01011062,4.5
E01011064,14.5
E01011068,9.0
E01011069,13.1
E01011241,24.4
E01011242,11.8
E01011243,16.6
E01011244,39.8
E01011060,56.3
E01011061,40.7
E01011063,23.9
E01011065,33.2
E01011066,36.6
E01011027,23.4
E01011028,30.5
E01011030,56.0
E01011031,31.2
E01011054,11.0
E01011013,5.8
E01011014,35.0
E01011023,36.0
E01011024,31.4
E01011067,14.1
E01011247,18.6
E01011249,28.9
E01011251,26.8
E01011245,9.1
E01011246,44.1
E01011248,25.1
E01011250,34.8
E01011015,53.6
E01011029,24.8
E01011032,35.1
E01011034,93.9
E01011157,75.0
E01011161,29.2
E01011163,49.5
E01011164,49.7
E01011165,69.4
E01011166,37.4
E01011167,68.2
E01011033,50.3
E01011035,85.8
E01011036,57.5
E01011037,67.3
E01011016,35.0
E01011017,114.1
E01011018,55.6
E01011019,29.8
E01011020,77.8
E01011021,17.7
E01011022,33.7
E01011126,13.4
E01011127,37.1
E01011156,27.9
E01011158,38.3
E01011159,3.5
E01011160,9.9
E01011162,20.1
E01011025,31.9
E01011026,41.3
E01011136,58.5
E01011137,40.7
E01011128,55.4
E01011130,26.8
E01033542,37.5
E01011121,45.7
E01011122,61.4
E01011123,25.6
E01011124,18.4
E01011125,23.8
E01011129,54.2
E01011138,40.2
E01011139,27.1
E01011140,54.6
E01011141,22.8
E01011132,21.6
E01011142,7.9
E01011217,31.9
E01011218,40.8
E01011216,14.4
E01011219,34.5
E01011220,44.9
E01011221,60.0
E01011046,11.4
E01011100,14.0
E01011102,6.0
E01011108,22.8
E01011133,35.8
E01011134,63.7
E01011143,96.6
E01011144,26.7
E01011260,14.1
E01011257,34.7
E01011258,66.2
E01011259,32.7
E01011261,75.9
E01011262,49.4
E01011263,11.3
E01011101,54.4
E01011103,8.9
E01011104,30.3
E01011105,46.3
E01011212,49.3
E01011213,22.3
E01011214,6.9
E01011215,4.5
E01011039,32.8
E01011042,27.6
E01011047,6.0
E01011210,21.1
E01011252,1.8
E01011253,40.4
E01011254,31.2
E01011255,32.3
E01011256,7.0
E01011038,45.6
E01011041,34.1
E01011106,11.6
E01011107,9.4
E01011201,53.3
E01011203,52.9
E01011209,11.9
E01011211,25.5
E01011040,60.6
E01011043,77.9
E01011044,65.9
E01011045,62.0
E01011089,33.1
E01011091,4.3
E01011092,4.9
E01011200,10.9
E01011204,24.4
E01011206,57.2
E01011208,43.9
E01011240,63.2
E01011231,75.5
E01011236,37.6
E01011238,24.5
E01011239,57.4
E01011093,15.7
E01011094,41.7
E01011096,57.2
E01011098,61.6
E01011146,34.6
E01011151,4.7
E01011202,45.6
E01011205,5.2
E01011090,10.8
E01011095,31.7
E01011097,59.7
E01011099,50.8
E01011150,23.1
E01011155,28.2
E01011207,22.2
E01011234,56.8
E01011232,34.2
E01011233,33.0
E01011235,35.6
E01011237,41.5
E01011004,41.0
E01011006,37.5
E01011008,65.3
E01011012,72.3
E01011145,46.9
E01011147,29.0
E01011148,52.8
E01011152,18.3
E01011007,24.2
E01011223,19.0
E01011225,47.5
E01011229,34.4
E01011080,73.0
E01011081,49.6
E01011082,146.5
E01011230,76.7
E01011005,16.4
E01011009,19.3
E01011010,46.1
E01011011,7.3
E01011077,19.1
E01011149,27.8
E01011153,41.5
E01011154,33.3
E01011191,12.4
E01011192,2.8
E01011193,2.5
E01011194,38.2
E01011079,53.9
E01011083,29.6
E01011084,56.3
E01011085,19.2
E01011224,30.8
E01011226,9.5
E01011227,48.2
E01011228,22.3
E01011071,4.8
E01011072,16.1
E01011073,27.3
E01011078,21.9
E01011086,5.7
E01011087,17.1
E01011088,32.6
E01011222,13.0
E01011190,4.2
E01011195,2.5
E01011196,20.5
E01011197,2.9
E01011070,1.3
E01011074,12.6
E01011075,0.4
E01011076,3.9
E01011169,5.0
E01011170,4.0
E01011171,19.4
E01011172,45.8
E01011173,30.5
E01011176,5.8
E01011109,1.3
E01011113,26.0
E01011114,26.7
E01011119,6.8
E01011168,10.6
E01011174,2.3
E01011175,19.0
E01011177,1.5
E01011178,16.8
E01011118,2.8
E01011120,25.4
E01011198,3.0
E01011199,8.1
E01011110,1.7
E01011111,16.0
E01011112,11.8
E01011115,3.7
E01011116,22.0
E01011117,2.4
E01011180,12.6
E01011182,0.6
E01011186,8.4
E01011188,12.6
E01011179,4.9
E01011181,11.9
E01011183,1.6
E01011184,13.0
E01011185,14.0
E01011187,18.8
E01011189,2.9
E01011698,45.4
E01011699,41.0
E01011701,32.3
E01011702,6.2
E01011703,30.8
E01011697,1.5
E01011700,13.9
E01011704,2.7
E01011705,36.2
E01011581,23.5
E01011582,13.0
E01011583,44.8
E01011584,18.2
E01011569,3.3
E01011571,11.3
E01011572,33.8
E01011573,8.0
E01011574,49.3
E01011707,5.7
E01011709,14.0
E01011710,9.7
E01011711,15.7
E01011712,0.7
E01011561,0.5
E01011696,2.1
E01011706,3.8
E01011708,2.6
E01011713,1.9
E01011570,5.9
E01011576,1.6
E01032503,1.1
E01032504,5.3
E01011266,8.0
E01011270,2.0
E01011279,3.8
E01011280,18.6
E01011265,30.8
E01011267,33.3
E01011271,36.4
E01011272,27.4
E01011268,35.3
E01011273,35.1
E01011274,49.6
E01011275,45.8
E01011264,20.1
E01011269,24.6
E01011276,39.1
E01011578,23.8
E01011554,1.5
E01011562,10.8
E01011563,9.5
E01011564,34.0
E01011567,34.5
E01011376,8.3
E01011377,28.6
E01011378,33.6
E01011382,48.5
E01011277,38.4
E01011278,27.7
E01011579,60.1
E01011580,8.0
E01011556,42.3
E01011557,44.7
E01011565,31.4
E01011566,54.2
E01011568,40.1
E01011380,18.8
E01011381,5.0
E01011385,10.6
E01011386,21.1
E01011379,32.9
E01011384,45.4
E01032501,47.7
E01032502,40.9
E01011555,28.9
E01011558,37.7
E01011559,25.4
E01011560,36.5
E01011383,21.1
E01011388,23.8
E01011684,23.3
E01011695,42.0
E01011650,4.4
E01011651,35.4
E01011653,55.9
E01011655,19.3
E01011455,8.9
E01011456,16.9
E01011459,24.4
E01011461,20.9
E01011311,1.8
E01011649,5.8
E01011715,2.4
E01011719,6.3
E01011509,39.6
E01011511,40.4
E01011512,42.4
E01011515,48.4
E01011516,60.2
E01011508,49.4
E01011517,43.7
E01011652,52.3
E01011654,43.4
E01011505,20.4
E01011506,67.7
E01011507,51.6
E01011510,41.8
E01011514,51.6
E01011452,15.0
E01011454,59.4
E01011457,6.2
E01011458,8.4
E01011465,39.2
E01011453,32.7
E01011460,47.8
E01011462,43.9
E01011463,58.2
E01011464,45.6
E01011714,11.4
E01011716,36.8
E01011717,30.8
E01011718,49.7
E01011720,30.7
