CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
18672,52.373434259999996,-0.6985142329999999,3.0,240.0,42155.6,122.2,7901.0,7525.6
18673,52.38419493,-0.7156680059999999,97.4,109.6,15610.8,226.6,1621.8,163.8
18674,50.91121293,-0.19221936399999998,35.4,318.8,44808.8,188.8,9471.6,2412.2
18675,54.574389610000004,-1.202969549,17.4,86.8,16282.6,286.0,4477.0,793.6
18676,54.52797518,-1.252886807,1.8,118.8,35523.2,104.8,5481.8,2154.0
18677,52.97324062,-2.708381797,10.6,53.8,8387.2,42.4,1900.8,1505.4
18678,52.946524739999994,-2.664712053,23.6,141.6,13821.8,79.6,2806.2,2057.0
18679,54.6729289,-3.3816272139999994,2.0,34.8,6764.2,41.8,1774.8,604.0
18680,54.53431494,-3.5713847039999997,56.0,203.2,16435.8,142.4,2809.6,391.0
18681,54.098636490000004,-3.2554162389999997,22.0,8.4,1539.0,61.0,216.8,3.2
18682,51.51931272,-0.632200179,203.0,102.8,14303.8,136.8,1994.8,361.0
18683,51.30617847999999,-0.7511629590000001,268.8,247.8,25358.0,279.2,3488.2,330.6
18684,51.40538063,-1.131608799,54.4,314.0,17934.6,92.6,3802.6,1482.2
18685,51.78312485,-0.013887139999999997,22.4,65.0,12993.0,43.4,2202.2,208.0
18686,51.64608957,-0.035781892999999995,81.8,241.0,15339.6,292.6,2737.0,931.4
18688,51.73697285000001,0.47509397700000006,284.0,101.6,13424.0,35.6,1551.6,149.8
18689,53.42314548,-1.407070012,74.0,92.8,11794.2,206.4,2533.4,807.4
18690,53.40668034,-0.888329126,11.2,92.2,6798.6,30.6,1596.6,701.2
18691,53.14202133,-1.186699845,77.0,75.4,11775.6,156.0,1961.4,230.6
18694,52.66547574,-1.122377884,85.0,199.4,25796.6,99.0,4885.0,1109.0
18697,52.013684235999996,-0.31178120239999996,34.8,68.6,6784.4,30.4,1242.2,253.2
18698,52.03403626000001,-0.346557426,14.6,86.0,13391.0,67.6,2898.4,807.4
18699,50.86926981,-0.139679169,0.2,454.8,55561.4,138.2,11625.2,2518.2
18701,51.12711110400001,-0.8584520504,7.0,145.2,12488.4,100.6,2651.8,550.0
18703,52.47880106,-0.9118580829999999,156.4,112.2,9074.8,93.8,1658.8,335.2
18704,52.260241789999995,-1.386066526,7.4,73.4,6960.6,59.2,1168.2,787.2
18706,51.13602383,0.285565215,136.4,161.0,20179.0,245.2,3092.6,866.6
18707,51.089289228,-1.090197881,19.6,195.4,11995.6,109.6,2083.0,538.8
18708,51.06813558,-2.352246336,1.2,64.0,12741.0,55.0,2634.6,1421.2
18710,52.69116482,-2.7113812489999995,2.6,213.0,20562.2,115.2,3428.4,3050.0
18711,52.73933432,-2.721422861,154.0,59.0,11607.0,83.0,1915.8,430.0
18713,53.298864849999994,-2.138914312,83.6,227.8,20152.0,84.8,2992.2,995.0
18714,53.28095698,-2.115894285,23.0,130.6,21745.8,63.8,2878.2,866.2
18719,53.07023647,-0.673142837,0.4,59.8,9015.4,61.6,2149.8,2229.8
18721,53.38967632,-1.409835564,66.8,210.8,23928.6,77.4,4424.8,881.8
18723,53.57365635,-1.4738604569999998,41.2,136.0,11799.0,358.2,1909.6,382.0
18727,51.49497322,-0.409857322,80.6,571.2,44169.0,251.0,7663.2,3033.0
18728,51.51770015999999,0.072557836,14.4,329.0,31205.4,456.0,3770.6,2025.0
18733,52.59261479999999,1.352627452,5.2,141.8,13487.2,102.6,2293.2,878.0
18734,52.63399166000001,1.346716306,125.4,165.6,12019.0,75.2,2370.8,503.4
18735,53.59759754,-0.693667858,0.8,112.0,10265.8,17.2,1873.6,2598.6
18736,51.50954431,-0.010028228,96.0,1206.6,23603.8,324.6,5129.0,1463.6
18737,51.652181510000005,-0.083368705,80.6,127.0,8789.8,946.4,1235.4,247.8
18738,51.49496627999999,-0.148892431,520.0,316.2,8564.6,73.4,954.4,261.8
18739,51.98892596999999,-0.693669874,27.0,223.0,19135.6,89.6,3416.0,971.6
19011,52.44927834,-0.6805645090000001,3.4,87.4,8947.8,56.0,1760.8,1275.0
19011,52.44927834,-0.6805645090000001,3.4,87.4,8947.8,56.0,1760.8,1275.0
19016,51.7429847,-0.503063818,41.0,100.0,7838.2,83.0,1466.8,239.8
19028,51.41936224999999,-0.195958747,131.0,297.0,9421.4,912.8,1377.8,425.0
19029,51.403397919999996,-0.165675656,226.6,351.0,16141.2,814.4,2685.8,353.6
19035,51.50931343,-0.025097812000000004,202.4,646.8,20059.6,149.4,3533.8,1166.4
19040,52.60576091,-1.6489037340000003,9.0,156.0,31376.6,66.6,5207.4,3390.4
19047,54.150413449999995,-1.238264051,0.0,97.2,8378.6,77.2,1808.4,1001.6
19056,51.30838967999999,-0.7757794490000001,0.0,591.8,80104.4,297.0,13009.2,6867.4
20502,51.53184876,-3.613432405,0.0,160.2,55242.0,213.0,9712.6,5183.8
20504,51.677332426,-3.9465317948,0.0,264.8,55553.2,204.4,10340.2,4408.4
20505,51.54665029,-3.0829744310000002,0.0,227.0,39430.0,275.8,5647.4,2912.6
20505,51.54665029,-3.0829744310000002,0.0,227.0,39430.0,275.8,5647.4,2912.6
20509,53.048423,-3.6871483580000004,13.4,167.2,2816.8,40.8,656.4,132.6
20510,52.98072994,-3.215761046,6.4,112.8,4288.4,88.2,790.0,406.0
20511,51.809877189999995,-2.7121395589999997,18.4,122.0,23891.4,153.0,5162.0,4176.2
20512,51.82468019,-3.0214334989999996,48.6,47.8,13216.2,160.0,2354.0,309.0
20513,51.91990542999999,-3.3109363590000003,1.2,37.6,2838.6,44.2,704.6,217.2
20515,51.95864341,-3.8933414310000005,17.8,72.2,3378.6,62.0,1048.8,361.0
20516,51.87312518,-4.135110516,2.4,36.2,3648.6,78.4,783.0,245.2
20517,51.82255358,-4.529741552,2.0,69.6,8973.6,76.8,2269.8,871.8
20518,51.83224578000001,-4.971364229,12.2,68.2,7707.0,70.4,1398.4,529.8
20519,52.30226123,-3.469729505,4.0,28.2,1548.8,20.2,396.4,119.4
20521,51.76414925600001,-4.0705038254,0.8,111.8,26213.8,127.0,5916.2,2147.0
20523,51.63029112,-3.82256015,148.0,202.6,23129.6,154.6,3683.0,794.2
20524,51.56619728,-3.744244848,105.0,105.0,9702.0,76.0,1957.0,711.0
20527,51.50213828,-3.153955905,2.6,326.6,45621.2,270.6,5629.6,1158.0
